latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
42.2478938,-78.0261758,2024,4.681967213,75.17622951,244,40.42754098
42.2478938,-78.0261758,2025,2.848559671,76.3127572,243,37.12740741
42.2478938,-78.0261758,2026,-1.074193548,77.12903226,155,30.06645161
42.2667252,-77.3855253,2010,3.199176955,73.50617284,243,37.75851852
42.2667252,-77.3855253,2011,1.608641975,76.12757202,243,34.89555556
42.2667252,-77.3855253,2012,5.09795082,71.98770492,244,41.17631148
42.2667252,-77.3855253,2013,2.653497942,73.48971193,243,36.7762963
42.2667252,-77.3855253,2014,0.969135802,71.33333333,243,33.74444444
42.2667252,-77.3855253,2015,1.204526749,72.26748971,243,34.16814815
42.2667252,-77.3855253,2016,4.149180328,71.00409836,244,39.46852459
42.2667252,-77.3855253,2017,4.116049383,73.44855967,243,39.40888889
42.2667252,-77.3855253,2018,2.827160494,71.73251029,243,37.08888889
42.2667252,-77.3855253,2019,2.545679012,74.30041152,243,36.58222222
42.2667252,-77.3855253,2020,3.283606557,73.71721311,244,37.9104918
42.2667252,-77.3855253,2021,3.718518519,72.08230453,243,38.69333333
42.2667252,-77.3855253,2022,3.765432099,72.10288066,243,38.77777778
42.2667252,-77.3855253,2023,4.335802469,70.46090535,243,39.80444444
42.2667252,-77.3855253,2024,5.113934426,73.82786885,244,41.20508197
42.2667252,-77.3855253,2025,3.304526749,74.31687243,243,37.94814815
42.2667252,-77.3855253,2026,-0.746451613,75.70967742,155,30.6563871
42.2869511,-74.1494949,2010,1.993004115,73.38271605,243,35.58740741
42.2869511,-74.1494949,2011,0.618106996,73.79423868,243,33.11259259
42.2869511,-74.1494949,2012,3.695901639,70.7295082,244,38.65262295
42.2869511,-74.1494949,2013,1.388888889,72.33333333,243,34.5
42.2869511,-74.1494949,2014,-0.234979424,70.94238683,243,31.57703704
